"﻿""Source Url""","Transcription"
"http://www.stoa.org/sol-bin/search.pl?search_method=QUERY&login=guest&enlogin=guest&page_num=1&user_list=LIST&searchstr=potter&field=any&num_per_page=25&db=REAL","[Note] that Anacharsis the Scythian philosopher invented the anchor and the potter 's wheel. He lived in the time of Croesus."
"http://www.stoa.org/sol-bin/search.pl?search_method=QUERY&login=guest&enlogin=guest&page_num=1&user_list=LIST&searchstr=potter&field=any&num_per_page=25&db=REAL","The son of Gnouros[1] and of a Greek mother, a Scythian, a philosopher, brother of Kadui[d]as the king of Scythia.[2] He wrote Customs of the Scythians in verses, Concerning the simplicity of those things pertaining to human life, all in eight hundred verses.[3] He discovered the anchor and the potter 's wheel.[4] He lived in the time of Croesus. And he died performing Greek rites in Scythia, when his brother was plotting against him: according to some he [lived] into extreme old age and almost up to one hundred years old."
"http://www.stoa.org/sol-bin/search.pl?search_method=QUERY&login=guest&enlogin=guest&page_num=1&user_list=LIST&searchstr=potter&field=any&num_per_page=25&db=REAL","A proverb in reference to those discovering something new. For Annos was an Egyptian who contrived the potter 's oven for the baking of bread."
"http://www.stoa.org/sol-bin/search.pl?search_method=QUERY&login=guest&enlogin=guest&page_num=1&user_list=LIST&searchstr=potter&field=any&num_per_page=25&db=REAL","[sc. A proverbial saying] in reference to those doing the same or similar things."
"http://www.stoa.org/sol-bin/search.pl?search_method=QUERY&login=guest&enlogin=guest&page_num=1&user_list=LIST&searchstr=potter&field=any&num_per_page=25&db=REAL","[Meaning] the worker in clay, and a craftsman of such products. And Plato in Republic [uses the word]."
"http://www.stoa.org/sol-bin/search.pl?search_method=QUERY&login=guest&enlogin=guest&page_num=1&user_list=LIST&searchstr=potter&field=any&num_per_page=25&db=REAL","[Meaning a] clay-worker. [So called] from one kind of clay products, the cooking-pot."
"http://www.stoa.org/sol-bin/search.pl?search_method=QUERY&login=guest&enlogin=guest&page_num=1&user_list=LIST&searchstr=potter&field=any&num_per_page=25&db=REAL","A proverbial saying in reference to those going beyond their first lessons and clutching at greater things. That is, disregarding their first lessons and striving for the final ones."
"http://www.stoa.org/sol-bin/search.pl?search_method=QUERY&login=guest&enlogin=guest&page_num=1&user_list=LIST&searchstr=potter&field=any&num_per_page=25&db=REAL","This man was an Egyptian sage;he flourished before the Pharaoh. He was called Trismegistos ['thrice-great'], because he made a statement about the triad,[1] saying [that] a single deity exists in triadic form thus: ""there existed an intellectual light prior to the intellectual light, and there was always a shining mind of the mind, and its unity was nothing else;and it was a spirit containing everything. Apart from that there did not exist another god, or angel, or essence. Because he is lord and father and god of everything, and everything is under him and within him. For his word being complete and fruitful and creative, and being a child[2] in fruitful nature and fruitful water, he made the water pregnant."" And having said these things, he prayed: ""I adjure you, sky, wise creation of the great god;I adjure you, voice of the father, the one that he spoke first, when he firmly set the whole world;I adjure you, by this only-begotten word and by the father who contains everything, gracious, be gracious."
"http://www.stoa.org/sol-bin/search.pl?search_method=QUERY&login=guest&enlogin=guest&page_num=1&user_list=LIST&searchstr=potter&field=any&num_per_page=25&db=REAL","[Meaning] the unsound and insecure [kind]."
"http://www.stoa.org/sol-bin/search.pl?search_method=QUERY&login=guest&enlogin=guest&page_num=1&user_list=LIST&searchstr=potter&field=any&num_per_page=25&db=REAL","In a general sense meaning to work on. For Kephalos was also the father of a potter.[1] They would also say ""pottering"" for dealing badly with public affairs."
